epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,164.166,0.52384,0.37698,0.84772,0.98227,0.99462,0.99495,0.89997,0.42089,0.28893,0.81879,0.000990365,0.000990365,0.000990365
43,168.093,0.4934,0.35635,0.84251,0.98205,0.99849,0.995,0.92566,0.33481,0.255,0.80164,0.000973861,0.000973861,0.000973861
44,171.931,0.49432,0.36528,0.838,0.98407,0.99796,0.995,0.9256,0.33054,0.26537,0.80028,0.000957358,0.000957358,0.000957358
45,175.598,0.49736,0.35689,0.85051,0.98314,0.99462,0.99495,0.92261,0.33679,0.26262,0.80501,0.000940855,0.000940855,0.000940855
46,179.379,0.50351,0.3586,0.84768,0.98538,0.99462,0.99456,0.91903,0.34126,0.26834,0.80578,0.000924352,0.000924352,0.000924352
47,183.207,0.50174,0.36025,0.84231,0.9946,0.98786,0.99404,0.90566,0.34701,0.27732,0.80489,0.000907848,0.000907848,0.000907848
48,187.008,0.48962,0.35336,0.84436,0.99017,0.98764,0.99479,0.90569,0.35397,0.26774,0.80213,0.000891345,0.000891345,0.000891345
49,190.752,0.49173,0.36217,0.85168,0.98541,0.99914,0.995,0.91496,0.33892,0.25654,0.80238,0.000874842,0.000874842,0.000874842
50,194.581,0.48693,0.34459,0.83594,0.98275,0.99114,0.995,0.91401,0.32825,0.25457,0.80202,0.000858338,0.000858338,0.000858338
51,198.3,0.48971,0.34942,0.84255,0.99003,0.98961,0.995,0.90969,0.33066,0.24576,0.8004,0.000841835,0.000841835,0.000841835
52,202.09,0.48904,0.35245,0.848,0.98707,0.99308,0.99484,0.92078,0.32288,0.25327,0.8035,0.000825332,0.000825332,0.000825332
53,205.818,0.49295,0.34205,0.84997,0.99101,0.98788,0.99469,0.9255,0.3119,0.24936,0.79937,0.000808828,0.000808828,0.000808828
54,209.673,0.47609,0.34328,0.84074,0.98888,0.99245,0.99465,0.92942,0.31377,0.25853,0.79999,0.000792325,0.000792325,0.000792325
